Driver Number,Driver Name,Lap Number,Total Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
1,Mark Hudders,1,4:38.1920,3:31.4580,0:41.7460,0:24.9880
1,Mark Hudders,2,1:33.0270,0:27.8540,0:40.4930,0:24.6800
1,Mark Hudders,3,2:02.0310,0:28.1720,0:52.2570,0:41.6020
1,Mark Hudders,4,3:25.2500,1:16.7850,1:13.4770,0:54.9880
1,Mark Hudders,5,3:20.7550,1:15.4400,1:11.5920,0:53.7230
1,Mark Hudders,6,2:50.7720,0:58.7920,1:07.4080,0:44.5720
1,Mark Hudders,7,1:34.1020,0:28.8510,0:40.4290,0:24.8220
1,Mark Hudders,8,1:33.9120,0:27.2580,0:41.0510,0:25.6030
1,Mark Hudders,9,1:36.8130,0:28.5240,0:42.4840,0:25.8050
1,Mark Hudders,10,1:34.1100,0:28.1320,0:41.0940,0:24.8840
1,Mark Hudders,11,1:34.4450,0:27.8250,0:41.3300,0:25.2900
1,Mark Hudders,12,1:46.2520,0:27.6810,0:53.5680,0:25.0030
1,Mark Hudders,13,1:34.6200,0:27.9210,0:41.3640,0:25.3350
1,Mark Hudders,14,1:34.6990,0:28.1680,0:41.1650,0:25.3660
1,Mark Hudders,15,1:35.3500,0:28.2080,0:41.5090,0:25.6330
7,Jim Pollicina,1,4:40.9870,3:33.9700,0:41.7900,0:25.2270
7,Jim Pollicina,2,1:31.9470,0:27.3780,0:39.9730,0:24.5960
7,Jim Pollicina,3,2:01.3130,0:27.3930,0:51.7220,0:42.1980
7,Jim Pollicina,4,3:25.2100,1:16.6650,1:13.4050,0:55.1400
7,Jim Pollicina,5,3:20.7130,1:15.3530,1:11.6770,0:53.6830
7,Jim Pollicina,6,2:50.0850,0:58.6120,1:07.3840,0:44.0890
7,Jim Pollicina,7,1:34.2720,0:28.8260,0:40.4310,0:25.0150
7,Jim Pollicina,8,1:34.1700,0:27.0820,0:41.2200,0:25.8680
7,Jim Pollicina,9,1:35.0080,0:28.0720,0:41.6020,0:25.3340
7,Jim Pollicina,10,1:34.5960,0:27.7320,0:41.5320,0:25.3320
7,Jim Pollicina,11,1:32.9440,0:27.5460,0:40.7650,0:24.6330
7,Jim Pollicina,12,1:30.9130,0:26.8320,0:39.4830,0:24.5980
7,Jim Pollicina,13,1:31.0240,0:26.6930,0:39.8150,0:24.5160
7,Jim Pollicina,14,1:31.4430,0:26.8630,0:39.7290,0:24.8510
7,Jim Pollicina,15,1:31.6870,0:26.9270,0:40.0560,0:24.7040
13,Paul Van Loenhout,1,4:46.7580,3:36.2170,0:43.9110,0:26.6300
13,Paul Van Loenhout,2,1:37.9270,0:29.7710,0:42.1510,0:26.0050
13,Paul Van Loenhout,3,2:21.5320,0:57.6650,0:53.6860,0:30.1810
13,Paul Van Loenhout,4,3:04.2210,1:07.7340,1:00.4590,0:56.0280
13,Paul Van Loenhout,5,3:20.4670,1:19.3100,1:07.1510,0:54.0060
13,Paul Van Loenhout,6,2:45.0150,0:58.3920,1:05.8970,0:40.7260
13,Paul Van Loenhout,7,1:41.8070,0:32.1410,0:43.2020,0:26.4640
13,Paul Van Loenhout,8,1:39.9750,0:30.6810,0:42.9780,0:26.3160
13,Paul Van Loenhout,9,1:41.4030,0:29.9800,0:44.5110,0:26.9120
13,Paul Van Loenhout,10,1:39.1760,0:29.8930,0:43.0920,0:26.1910
13,Paul Van Loenhout,11,1:38.9800,0:30.1760,0:42.5430,0:26.2610
13,Paul Van Loenhout,12,1:38.8410,0:29.9910,0:42.3880,0:26.4620
13,Paul Van Loenhout,13,1:39.4530,0:30.7900,0:42.2980,0:26.3650
13,Paul Van Loenhout,14,1:39.4290,0:30.5750,0:42.3650,0:26.4890
13,Paul Van Loenhout,15,1:38.4730,0:29.8170,0:42.3370,0:26.3190
23,Cameron Campbell,1,4:37.4820,3:30.3940,0:41.9670,0:25.1210
23,Cameron Campbell,2,1:33.0710,0:27.5170,0:40.6020,0:24.9520
23,Cameron Campbell,3,2:01.6540,0:27.4480,0:51.7680,0:42.4380
23,Cameron Campbell,4,3:24.8480,1:16.4250,1:13.7880,0:54.6350
23,Cameron Campbell,5,3:21.0640,1:14.5370,1:12.7400,0:53.7870
23,Cameron Campbell,6,2:51.2260,0:58.9550,1:07.6970,0:44.5740
23,Cameron Campbell,7,1:33.7250,0:28.0410,0:40.8030,0:24.8810
23,Cameron Campbell,8,1:34.5340,0:27.3630,0:40.8520,0:26.3190
23,Cameron Campbell,9,1:35.9510,0:28.4800,0:41.4590,0:26.0120
23,Cameron Campbell,10,1:34.5320,0:27.7060,0:41.3620,0:25.4640
23,Cameron Campbell,11,1:34.8050,0:27.5400,0:41.8880,0:25.3770
23,Cameron Campbell,12,1:33.5500,0:27.8480,0:40.8020,0:24.9000
23,Cameron Campbell,13,1:32.7060,0:27.5010,0:40.3760,0:24.8290
23,Cameron Campbell,14,1:32.2970,0:27.4500,0:40.1420,0:24.7050
23,Cameron Campbell,15,1:32.8860,0:27.4560,0:40.5420,0:24.8880
100,Aemel Nordin,1,4:38.6860,3:31.9360,0:41.5990,0:25.1510
100,Aemel Nordin,2,1:33.2210,0:27.7990,0:40.5440,0:24.8780
105,Masahiro Taguchi,1,4:43.6720,3:34.8910,0:42.6300,0:26.1510
105,Masahiro Taguchi,2,1:35.2290,0:28.3340,0:40.7480,0:26.1470
105,Masahiro Taguchi,3,2:19.2530,1:00.6700,0:50.7710,0:27.8120
105,Masahiro Taguchi,4,3:10.1730,1:10.3020,1:03.9370,0:55.9340
105,Masahiro Taguchi,5,3:20.5590,1:18.7090,1:07.5360,0:54.3140
105,Masahiro Taguchi,6,2:44.5940,0:57.5540,1:06.6250,0:40.4150
105,Masahiro Taguchi,7,1:41.2390,0:31.6360,0:43.3930,0:26.2100
105,Masahiro Taguchi,8,1:37.6250,0:28.7980,0:42.0740,0:26.7530
105,Masahiro Taguchi,9,1:41.0840,0:29.7080,0:44.7510,0:26.6250
105,Masahiro Taguchi,10,1:37.4590,0:28.8400,0:42.8210,0:25.7980
105,Masahiro Taguchi,11,1:36.2510,0:28.8620,0:41.6970,0:25.6920
105,Masahiro Taguchi,12,1:36.9270,0:28.9330,0:42.2590,0:25.7350
105,Masahiro Taguchi,13,1:35.9730,0:28.5520,0:41.7410,0:25.6800
105,Masahiro Taguchi,14,1:37.1180,0:29.5280,0:41.5430,0:26.0470
105,Masahiro Taguchi,15,1:37.4560,0:29.1690,0:42.4320,0:25.8550
111,Tony Baildon,1,4:48.1610,3:36.7110,0:44.8920,0:26.5580
111,Tony Baildon,2,1:38.3010,0:29.3830,0:42.9110,0:26.0070
111,Tony Baildon,3,2:14.2080,0:54.2370,0:51.6520,0:28.3190
111,Tony Baildon,4,3:08.7290,1:08.5670,1:03.9320,0:56.2300
111,Tony Baildon,5,3:20.5060,1:18.8440,1:07.4720,0:54.1900
111,Tony Baildon,6,2:45.0690,0:57.5300,1:06.6560,0:40.8830
