Car Number,Car,Class,Driver,Fastest Lap,Gap,Laps,Position,Team
1,296 Challenge,TP,Mark Hudders (AUS),15 1:31 2840,,16,1,Ferrari Sydney
117,296 Challenge,CS,Enzo Cheng (AUS),12 1:31 9280  0:00 ,44,14,2,Ferrari Sydney
23,296 Challenge,TP,Cameron Campbell (AUS),12 1:32 2050  0:00 ,21,14,3,Ferrari Richmond
7,296 Challenge,TP,Jim Pollicina (AUS),14 1:32 4700  0:01 ,86,24,4,Ferrari Sydney
170,296 Challenge,CS,David Frish (AUS),17 1:32 6220  0:01 ,38,18,5,Ferrari Sydney
127,296 Challenge,CS,David Trewern (AUS),16 1:33 0130  0:01 ,29,17,6,Ferrari Gold Coast
100,296 Challenge,CS,Aemel Nordin (AUS),13 1:34 7410  0:03 ,57,22,7,Ferrari Adelaide
212,488 Challenge EVO,TP4,Misho Stephan (AUS),10 1:35 3640  0:04 ,80,11,8,Ferrari Sydney
164,296 Challenge,CS,Michael Walker (NZ),14 1:35 9630  0:04 ,79,23,9,Continental Cars Ferrari
277,488 Challenge EVO,TP4,Jarrod Ferrari (AUS),16 1:36 9180  0:05 ,34,19,10,Barbagallo Ferrari
275,488 Challenge EVO,TP4,Baby Kei (JPN),10 1:37 3980  0:06 ,14,17,11,Cornes Osaka
111,296 Challenge,CS,Tony Baildon (AUS),15 1:37 8920  0:06 ,08,18,12,Ferrari Brisbane
13,296 Challenge,TP,Paul Van Loenhout (AUS),20 1:37 9420  0:06 ,58,23,13,Barbagallo Ferrari
105,296 Challenge,CS,Masahiro Taguchi (JPN),,,,,Ferrari Brisbane
