Driver Number,Driver Name,Lap Number,Total Lap Time,Sector 1 Time,Sector 2 Time,Sector 3 Time
1,Mark Hudders,1,4:39.2040,3:32.2080,0:41.6250,0:25.3710
1,Mark Hudders,2,1:34.2650,0:28.4660,0:40.6320,0:25.1670
1,Mark Hudders,3,1:33.6510,0:27.8500,0:40.7100,0:25.0910
1,Mark Hudders,4,1:33.3730,0:27.7760,0:40.4790,0:25.1180
1,Mark Hudders,5,1:34.2300,0:27.5280,0:41.2030,0:25.4990
1,Mark Hudders,6,1:33.5310,0:27.7470,0:40.6310,0:25.1530
1,Mark Hudders,7,1:33.8410,0:27.9770,0:40.8700,0:24.9940
1,Mark Hudders,8,1:34.1830,0:27.9900,0:41.0720,0:25.1210
1,Mark Hudders,9,1:34.1590,0:28.2020,0:40.9640,0:24.9930
1,Mark Hudders,10,1:33.0650,0:27.5920,0:40.6050,0:24.8680
1,Mark Hudders,11,1:33.3990,0:27.4550,0:40.8860,0:25.0580
1,Mark Hudders,12,1:33.1810,0:27.2900,0:40.7440,0:25.1470
1,Mark Hudders,13,1:34.4140,0:28.0080,0:41.1850,0:25.2210
1,Mark Hudders,14,1:34.3570,0:27.9050,0:40.9810,0:25.4710
1,Mark Hudders,15,1:34.5050,0:28.2560,0:41.0570,0:25.1920
1,Mark Hudders,16,1:34.4520,0:28.0560,0:41.4610,0:24.9350
1,Mark Hudders,17,1:35.1540,0:28.3910,0:41.3250,0:25.4380
1,Mark Hudders,18,1:35.6030,0:28.1560,0:41.7340,0:25.7130
1,Mark Hudders,19,1:38.2920,0:28.7400,0:44.2110,0:25.3410
,7 Jim Pollicina,1,4:35.7310,3:30.0990,0:40.2020,0:25.4300
,7 Jim Pollicina,2,1:32.4840,0:27.1520,0:40.0620,0:25.2700
,7 Jim Pollicina,3,1:32.5650,0:27.3530,0:40.1880,0:25.0240
,7 Jim Pollicina,4,1:32.7070,0:27.4390,0:40.2790,0:24.9890
,7 Jim Pollicina,5,1:32.2740,0:27.0470,0:40.2430,0:24.9840
,7 Jim Pollicina,6,1:31.7690,0:27.1460,0:39.7070,0:24.9160
,7 Jim Pollicina,7,1:32.3840,0:27.3060,0:40.2370,0:24.8410
,7 Jim Pollicina,8,1:32.0370,0:27.1410,0:40.0350,0:24.8610
,7 Jim Pollicina,9,1:32.6000,0:27.2060,0:40.4260,0:24.9680
,7 Jim Pollicina,10,1:32.7500,0:27.3620,0:40.4970,0:24.8910
,7 Jim Pollicina,11,1:33.4150,0:27.7960,0:40.5820,0:25.0370
,7 Jim Pollicina,12,1:32.6000,0:27.2400,0:40.3490,0:25.0110
,7 Jim Pollicina,13,1:32.3550,0:27.2500,0:40.1690,0:24.9360
,7 Jim Pollicina,14,1:32.4510,0:27.1510,0:40.3880,0:24.9120
,7 Jim Pollicina,15,1:33.6510,0:27.4680,0:41.2510,0:24.9320
,7 Jim Pollicina,16,1:33.2140,0:27.2920,0:40.7090,0:25.2130
,7 Jim Pollicina,17,1:33.3360,0:27.9110,0:40.5210,0:24.9040
,7 Jim Pollicina,18,1:33.1870,0:27.5810,0:40.7180,0:24.8880
,7 Jim Pollicina,19,1:34.5070,0:27.8710,0:41.4370,0:25.1990
,13 Paul Van Loenhout,1,4:47.6260,3:37.0590,0:44.4090,0:26.1580
,13 Paul Van Loenhout,2,1:39.2720,0:29.5580,0:43.5680,0:26.1460
,13 Paul Van Loenhout,3,1:38.6450,0:29.3840,0:42.8220,0:26.4390
,13 Paul Van Loenhout,4,1:38.3400,0:29.4370,0:42.5300,0:26.3730
,13 Paul Van Loenhout,5,1:38.5090,0:29.4880,0:42.7890,0:26.2320
,13 Paul Van Loenhout,6,1:39.4070,0:30.2650,0:42.8790,0:26.2630
,13 Paul Van Loenhout,7,1:36.4770,0:28.4130,0:41.8660,0:26.1980
,13 Paul Van Loenhout,8,1:38.4750,0:29.4900,0:42.5570,0:26.4280
,13 Paul Van Loenhout,9,1:38.1010,0:29.4130,0:42.7460,0:25.9420
,13 Paul Van Loenhout,10,1:36.8170,0:29.3950,0:41.4470,0:25.9750
,13 Paul Van Loenhout,11,1:35.8900,0:28.8880,0:41.3650,0:25.6370
,13 Paul Van Loenhout,12,1:35.9800,0:28.9230,0:41.0840,0:25.9730
,13 Paul Van Loenhout,13,1:35.9130,0:28.6420,0:41.3110,0:25.9600
,13 Paul Van Loenhout,14,1:36.2980,0:28.9140,0:41.4410,0:25.9430
,13 Paul Van Loenhout,15,1:36.2190,0:28.7870,0:41.6610,0:25.7710
,13 Paul Van Loenhout,16,1:36.7400,0:29.0420,0:41.4780,0:26.2200
,13 Paul Van Loenhout,17,1:37.2860,0:29.2630,0:41.8880,0:26.1350
,13 Paul Van Loenhout,18,1:37.0110,0:29.7280,0:41.3290,0:25.9540
,13 Paul Van Loenhout,19,1:37.7020,0:29.4340,0:41.9660,0:26.3020
105,Masahiro Taguchi,1,4:42.8690,3:34.6000,0:42.7450,0:25.5240
105,Masahiro Taguchi,2,1:36.0430,0:28.9790,0:41.3440,0:25.7200
105,Masahiro Taguchi,3,1:35.2870,0:28.5160,0:41.0860,0:25.6850
105,Masahiro Taguchi,4,1:35.6030,0:28.4610,0:41.9390,0:25.2030
105,Masahiro Taguchi,5,1:33.9780,0:27.9410,0:40.9090,0:25.1280
105,Masahiro Taguchi,6,1:34.9630,0:27.9900,0:41.1620,0:25.8110
105,Masahiro Taguchi,7,1:36.5660,0:28.9690,0:41.6650,0:25.9320
105,Masahiro Taguchi,8,1:35.4740,0:28.4580,0:41.4860,0:25.5300
105,Masahiro Taguchi,9,1:34.6790,0:28.2250,0:41.2120,0:25.2420
105,Masahiro Taguchi,10,1:34.9450,0:28.2750,0:41.2670,0:25.4030
105,Masahiro Taguchi,11,1:36.0950,0:28.7370,0:41.5060,0:25.8520
105,Masahiro Taguchi,12,1:35.7040,0:28.9840,0:41.3720,0:25.3480
105,Masahiro Taguchi,13,1:34.9890,0:28.0110,0:41.4490,0:25.5290
105,Masahiro Taguchi,14,1:35.6650,0:28.2470,0:41.6060,0:25.8120
105,Masahiro Taguchi,15,1:36.0000,0:28.6410,0:41.4340,0:25.9250
105,Masahiro Taguchi,16,1:36.2850,0:28.8140,0:41.6690,0:25.8020
105,Masahiro Taguchi,17,1:36.7390,0:29.0700,0:41.8660,0:25.8030
105,Masahiro Taguchi,18,1:36.6970,0:28.7100,0:41.9940,0:25.9930
105,Masahiro Taguchi,19,1:35.5140,0:28.2840,0:41.7780,0:25.4520
111,Tony Baildon,1,4:45.6200,3:35.8650,0:43.9630,0:25.7920
111,Tony Baildon,2,1:38.5050,0:28.9400,0:43.2770,0:26.2880
111,Tony Baildon,3,1:38.5520,0:29.1670,0:43.2280,0:26.1570
111,Tony Baildon,4,1:39.1410,0:29.2240,0:43.3930,0:26.5240
111,Tony Baildon,5,1:38.4480,0:29.3560,0:42.9350,0:26.1570
111,Tony Baildon,6,1:39.1990,0:29.9790,0:43.1880,0:26.0320
111,Tony Baildon,7,1:38.3600,0:29.0230,0:43.2610,0:26.0760
111,Tony Baildon,8,1:38.3560,0:29.1010,0:42.8780,0:26.3770
111,Tony Baildon,9,1:39.9920,0:29.0880,0:44.4830,0:26.4210
111,Tony Baildon,10,1:38.9560,0:29.4830,0:43.0930,0:26.3800
111,Tony Baildon,11,1:38.8560,0:29.2280,0:43.3510,0:26.2770
111,Tony Baildon,12,1:39.4990,0:29.3940,0:43.7910,0:26.3140
111,Tony Baildon,13,1:39.7340,0:29.5680,0:43.6590,0:26.5070
111,Tony Baildon,14,1:42.1580,0:29.7330,0:45.9570,0:26.4680
111,Tony Baildon,15,1:40.4620,0:29.4660,0:43.9050,0:27.0910
111,Tony Baildon,16,1:40.8480,0:30.4600,0:44.0530,0:26.3350
111,Tony Baildon,17,1:40.1250,0:29.4300,0:44.0240,0:26.6710
111,Tony Baildon,18,1:42.7190,0:29.5510,0:46.3880,0:26.7800
117,Enzo Cheng,1,4:36.1620,3:30.8170,0:40.4880,0:24.8570
117,Enzo Cheng,2,1:32.4000,0:27.3550,0:39.8620,0:25.1830
117,Enzo Cheng,3,1:32.6440,0:27.4830,0:40.1090,0:25.0520
117,Enzo Cheng,4,1:32.5770,0:27.4730,0:40.2040,0:24.9000
117,Enzo Cheng,5,1:32.3840,0:27.3240,0:40.1740,0:24.8860
117,Enzo Cheng,6,1:31.8080,0:27.2550,0:39.8210,0:24.7320
117,Enzo Cheng,7,1:32.3830,0:27.4380,0:40.1080,0:24.8370
117,Enzo Cheng,8,1:32.0430,0:27.1960,0:40.0950,0:24.7520
117,Enzo Cheng,9,1:32.4900,0:27.2410,0:40.3380,0:24.9110
117,Enzo Cheng,10,1:32.7780,0:27.4780,0:40.3750,0:24.9250
117,Enzo Cheng,11,1:33.3640,0:27.7730,0:40.5840,0:25.0070
117,Enzo Cheng,12,1:32.7310,0:27.3080,0:40.7000,0:24.7230
117,Enzo Cheng,13,1:32.2470,0:27.2690,0:40.2290,0:24.7490
117,Enzo Cheng,14,1:32.4910,0:27.2240,0:40.4350,0:24.8320
117,Enzo Cheng,15,1:33.7710,0:27.7680,0:41.0240,0:24.9790
117,Enzo Cheng,16,1:32.9150,0:27.2470,0:40.6070,0:25.0610
117,Enzo Cheng,17,1:33.5320,0:27.9690,0:40.6720,0:24.8910
117,Enzo Cheng,18,1:33.2290,0:27.5130,0:40.8200,0:24.8960
117,Enzo Cheng,19,1:34.2950,0:27.7420,0:41.3710,0:25.1820
127,David Trewern,1,4:39.8710,3:32.7140,0:41.8490,0:25.3080
127,David Trewern,2,1:34.8920,0:28.2670,0:41.6810,0:24.9440
127,David Trewern,3,1:33.9290,0:27.4930,0:41.1930,0:25.2430
127,David Trewern,4,1:33.8480,0:27.8050,0:40.9730,0:25.0700
127,David Trewern,5,1:33.7430,0:27.7240,0:41.0100,0:25.0090
127,David Trewern,6,1:34.0980,0:27.6820,0:41.2300,0:25.1860
127,David Trewern,7,1:34.1620,0:27.7670,0:41.3320,0:25.0630
127,David Trewern,8,1:33.9080,0:27.6440,0:41.1370,0:25.1270
127,David Trewern,9,1:33.7730,0:27.7620,0:41.1030,0:24.9080
127,David Trewern,10,1:33.8410,0:27.7830,0:41.0710,0:24.9870
127,David Trewern,11,1:34.0090,0:27.8120,0:41.0850,0:25.1120
127,David Trewern,12,1:34.7350,0:28.0750,0:41.3440,0:25.3160
127,David Trewern,13,1:36.0410,0:28.2160,0:42.2410,0:25.5840
127,David Trewern,14,1:36.0690,0:28.8210,0:41.9890,0:25.2590
127,David Trewern,15,1:36.5170,0:28.4160,0:42.3540,0:25.7470
127,David Trewern,16,1:37.4710,0:29.0310,0:42.6090,0:25.8310
127,David Trewern,17,1:36.9900,0:28.9510,0:42.5180,0:25.5210
127,David Trewern,18,1:37.4420,0:28.8410,0:42.7410,0:25.8600
127,David Trewern,19,1:38.1610,0:29.2900,0:43.0230,0:25.8480
170,David Frish,1,4:41.2350,3:33.6430,0:42.1880,0:25.4040
170,David Frish,2,1:34.7710,0:28.4890,0:41.3190,0:24.9630
170,David Frish,3,1:34.0650,0:28.2200,0:40.6760,0:25.1690
170,David Frish,4,1:34.0780,0:27.9940,0:40.8110,0:25.2730
170,David Frish,5,1:33.5900,0:27.9730,0:40.6740,0:24.9430
170,David Frish,6,1:33.4710,0:27.9600,0:40.4740,0:25.0370
170,David Frish,7,1:33.8510,0:28.1110,0:40.8090,0:24.9310
170,David Frish,8,1:33.8850,0:27.8600,0:40.9800,0:25.0450
170,David Frish,9,1:34.0270,0:27.9390,0:41.1610,0:24.9270
170,David Frish,10,1:34.0620,0:28.0300,0:40.8940,0:25.1380
170,David Frish,11,1:49.0020,0:28.3920,0:54.7090,0:25.9010
170,David Frish,12,1:35.4280,0:28.8490,0:41.3910,0:25.1880
170,David Frish,13,1:37.1720,0:27.9510,0:43.6290,0:25.5920
170,David Frish,14,1:36.7360,0:29.0780,0:42.0300,0:25.6280
170,David Frish,15,1:38.5500,0:29.7200,0:42.9960,0:25.8340
170,David Frish,16,1:36.0600,0:29.2170,0:41.5550,0:25.2880
170,David Frish,17,1:34.9870,0:28.4560,0:41.4480,0:25.0830
170,David Frish,18,1:36.3320,0:28.7540,0:41.8190,0:25.7590
170,David Frish,19,1:35.1250,0:28.4760,0:41.4060,0:25.2430
212,Misho Stephan,1,4:43.3240,3:34.8270,0:43.0620,0:25.4350
212,Misho Stephan,2,1:36.2860,0:29.3970,0:41.4260,0:25.4630
212,Misho Stephan,3,1:35.3490,0:28.0220,0:41.7120,0:25.6150
212,Misho Stephan,4,1:36.3260,0:28.1560,0:42.1540,0:26.0160
212,Misho Stephan,5,1:35.7250,0:28.7500,0:41.4860,0:25.4890
212,Misho Stephan,6,1:36.2700,0:28.3670,0:42.3980,0:25.5050
212,Misho Stephan,7,1:35.1720,0:28.1740,0:41.4810,0:25.5170
212,Misho Stephan,8,1:35.9410,0:28.1300,0:42.1800,0:25.6310
212,Misho Stephan,9,1:35.9100,0:28.3890,0:41.9090,0:25.6120
212,Misho Stephan,10,1:36.2870,0:28.2170,0:42.2400,0:25.8300
212,Misho Stephan,11,1:37.5240,0:28.6010,0:43.1540,0:25.7690
212,Misho Stephan,12,1:37.0730,0:28.4880,0:42.5260,0:26.0590
212,Misho Stephan,13,1:36.4060,0:28.6610,0:42.0110,0:25.7340
212,Misho Stephan,14,1:35.9870,0:28.2280,0:42.0600,0:25.6990
212,Misho Stephan,15,1:36.8070,0:28.3430,0:42.5110,0:25.9530
212,Misho Stephan,16,1:36.2290,0:28.2890,0:42.2700,0:25.6700
212,Misho Stephan,17,1:36.8510,0:28.3270,0:42.5500,0:25.9740
212,Misho Stephan,18,1:36.3840,0:28.3450,0:42.3020,0:25.7370
212,Misho Stephan,19,1:37.4210,0:28.6390,0:42.8070,0:25.9750
275,Baby Kei,1,4:46.8000,3:36.5420,0:43.9180,0:26.3400
275,Baby Kei,2,1:39.9430,0:29.8040,0:43.6320,0:26.5070
275,Baby Kei,3,1:38.3320,0:28.9160,0:43.0150,0:26.4010
275,Baby Kei,4,1:38.4170,0:28.9440,0:42.9370,0:26.5360
275,Baby Kei,5,1:38.7110,0:29.1160,0:43.0640,0:26.5310
275,Baby Kei,6,1:39.7030,0:29.8900,0:43.0480,0:26.7650
275,Baby Kei,7,1:40.1810,0:29.8530,0:43.5230,0:26.8050
275,Baby Kei,8,1:39.2640,0:29.8270,0:43.1020,0:26.3350
275,Baby Kei,9,1:39.2550,0:29.6620,0:43.0500,0:26.5430
275,Baby Kei,10,1:39.0930,0:29.4960,0:43.0310,0:26.5660
275,Baby Kei,11,1:39.0670,0:29.5130,0:42.9600,0:26.5940
275,Baby Kei,12,1:39.5080,0:29.9770,0:42.8680,0:26.6630
275,Baby Kei,13,1:38.2060,0:29.0820,0:42.5590,0:26.5650
275,Baby Kei,14,1:41.3190,0:31.6750,0:43.1540,0:26.4900
275,Baby Kei,15,1:37.9200,0:29.1880,0:42.4350,0:26.2970
275,Baby Kei,16,1:37.9730,0:29.0800,0:42.5260,0:26.3670
275,Baby Kei,17,1:37.4170,0:28.5340,0:42.2140,0:26.6690
275,Baby Kei,18,1:40.4180,0:29.3290,0:44.5020,0:26.5870
277,Jarrod Ferrari,1,4:42.3880,3:34.4150,0:42.3180,0:25.6550
277,Jarrod Ferrari,2,1:35.8740,0:28.5540,0:41.8000,0:25.5200
277,Jarrod Ferrari,3,1:35.4240,0:28.2960,0:41.5020,0:25.6260
277,Jarrod Ferrari,4,1:35.9290,0:28.5300,0:41.6810,0:25.7180
277,Jarrod Ferrari,5,1:37.1080,0:29.0620,0:42.3460,0:25.7000
277,Jarrod Ferrari,6,1:37.4110,0:29.5190,0:42.0950,0:25.7970
277,Jarrod Ferrari,7,1:35.8210,0:28.3980,0:41.7150,0:25.7080
277,Jarrod Ferrari,8,1:35.8910,0:28.3740,0:41.9730,0:25.5440
277,Jarrod Ferrari,9,1:36.0040,0:28.3760,0:42.0950,0:25.5330
277,Jarrod Ferrari,10,1:35.9090,0:28.3440,0:42.0450,0:25.5200
277,Jarrod Ferrari,11,1:37.2640,0:28.5520,0:42.6950,0:26.0170
277,Jarrod Ferrari,12,1:36.6880,0:28.4100,0:42.1510,0:26.1270
277,Jarrod Ferrari,13,1:36.6710,0:28.7190,0:41.8960,0:26.0560
277,Jarrod Ferrari,14,1:36.3980,0:28.5870,0:42.0950,0:25.7160
277,Jarrod Ferrari,15,1:36.7540,0:28.5660,0:42.3300,0:25.8580
277,Jarrod Ferrari,16,1:36.6150,0:28.6200,0:42.2530,0:25.7420
277,Jarrod Ferrari,17,1:36.5310,0:28.6200,0:42.1610,0:25.7500
277,Jarrod Ferrari,18,1:37.3390,0:28.7420,0:42.7710,0:25.8260
277,Jarrod Ferrari,19,1:37.6050,0:28.6560,0:42.6490,0:26.3000
