Car Number,Car,Class,Driver,Fastest Lap,Laps,Position,Race Time,Team
117,296 Challenge,CS,Enzo Cheng (AUS),13 1:31 1410,15,1,1:45 7760,Ferrari Sydney
7,296 Challenge,TP,Jim Pollicina (AUS),12 1:30 9130,15,2,1:46 3120,Ferrari Sydney
23,296 Challenge,TP,Cameron Campbell (AUS),14 1:32 2970,15,3,1:54 3310,Ferrari Richmond
1,296 Challenge,TP,Mark Hudders (AUS),2 1:33 0270,15,4,2:14 3300,Ferrari Sydney
127,296 Challenge,CS,David Trewern (AUS),2 1:34 5260,15,5,2:19 3580,Ferrari Gold Coast
170,296 Challenge,CS,David Frish (AUS),14 1:34 5340,15,6,2:20 9240,Ferrari Sydney
164,296 Challenge,CS,Michael Walker (NZ),2 1:34 8640,15,7,2:30 0310,Continental Cars Ferrari
105,296 Challenge,CS,Masahiro Taguchi (JPN),2 1:35 2290,15,8,2:34 6120,Ferrari Brisbane
277,488 Challenge EVO,TP,Jarrod Ferrari (AUS),2 1:35 4880,15,9,2:49 4460,Barbagallo Ferrari
13,296 Challenge,TP,Paul Van Loenhout (AUS),2 1:37 9270,15,10,2:53 4570,Barbagallo Ferrari
212,488 Challenge EVO,TP,Misho Stephan (AUS),2 1:36 2630,15,11,2:57 6740,Ferrari Sydney
111,296 Challenge,CS,Tony Baildon (AUS),2 1:38 3010,15,12,2:58 2780,Ferrari Brisbane
275,488 Challenge EVO,TP,Baby Kei (JPN),2 1:38 5650,7,NC,0:23 8530,Cornes Osaka
100,296 Challenge,CS,Aemel Nordin (AUS),2 1:33 2210,2,NC,6:11 9070,Ferrari Adelaide
